idx,image_file,mask_file,type
4,image-4.png,mask-4.png,test
16,image-16.png,mask-16.png,test
29,image-29.png,mask-29.png,test
36,image-36.png,mask-36.png,test
2,image-2.png,mask-2.png,train
7,image-7.png,mask-7.png,train
10,image-10.png,mask-10.png,train
12,image-12.png,mask-12.png,train
21,image-21.png,mask-21.png,train
24,image-24.png,mask-24.png,train
27,image-27.png,mask-27.png,train
28,image-28.png,mask-28.png,train
30,image-30.png,mask-30.png,train
43,image-43.png,mask-43.png,train
11,image-11.png,mask-11.png,val
22,image-22.png,mask-22.png,val
32,image-32.png,mask-32.png,val
22,image-2_vflip.png,mask-2_vflip.png,train
24,image-2_hflip.png,mask-2_hflip.png,train
90,image-2_rot45.png,mask-2_rot45.png,train
180,image-2_rot90.png,mask-2_rot90.png,train
540,image-2_rot270.png,mask-2_rot270.png,train
360,image-2_rot180.png,mask-2_rot180.png,train
90,image-2_hflip_rot45.png,mask-2_hflip_rot45.png,train
180,image-2_hflip_rot90.png,mask-2_hflip_rot90.png,train
540,image-2_hflip_rot270.png,mask-2_hflip_rot270.png,train
360,image-2_hflip_rot180.png,mask-2_hflip_rot180.png,train
90,image-2_vflip_rot45.png,mask-2_vflip_rot45.png,train
180,image-2_vflip_rot90.png,mask-2_vflip_rot90.png,train
540,image-2_vflip_rot270.png,mask-2_vflip_rot270.png,train
360,image-2_vflip_rot180.png,mask-2_vflip_rot180.png,train
77,image-7_vflip.png,mask-7_vflip.png,train
84,image-7_hflip.png,mask-7_hflip.png,train
315,image-7_rot45.png,mask-7_rot45.png,train
630,image-7_rot90.png,mask-7_rot90.png,train
1890,image-7_rot270.png,mask-7_rot270.png,train
1260,image-7_rot180.png,mask-7_rot180.png,train
315,image-7_hflip_rot45.png,mask-7_hflip_rot45.png,train
630,image-7_hflip_rot90.png,mask-7_hflip_rot90.png,train
1890,image-7_hflip_rot270.png,mask-7_hflip_rot270.png,train
1260,image-7_hflip_rot180.png,mask-7_hflip_rot180.png,train
315,image-7_vflip_rot45.png,mask-7_vflip_rot45.png,train
630,image-7_vflip_rot90.png,mask-7_vflip_rot90.png,train
1890,image-7_vflip_rot270.png,mask-7_vflip_rot270.png,train
1260,image-7_vflip_rot180.png,mask-7_vflip_rot180.png,train
110,image-10_vflip.png,mask-10_vflip.png,train
120,image-10_hflip.png,mask-10_hflip.png,train
450,image-10_rot45.png,mask-10_rot45.png,train
900,image-10_rot90.png,mask-10_rot90.png,train
2700,image-10_rot270.png,mask-10_rot270.png,train
1800,image-10_rot180.png,mask-10_rot180.png,train
450,image-10_hflip_rot45.png,mask-10_hflip_rot45.png,train
900,image-10_hflip_rot90.png,mask-10_hflip_rot90.png,train
2700,image-10_hflip_rot270.png,mask-10_hflip_rot270.png,train
1800,image-10_hflip_rot180.png,mask-10_hflip_rot180.png,train
450,image-10_vflip_rot45.png,mask-10_vflip_rot45.png,train
900,image-10_vflip_rot90.png,mask-10_vflip_rot90.png,train
2700,image-10_vflip_rot270.png,mask-10_vflip_rot270.png,train
1800,image-10_vflip_rot180.png,mask-10_vflip_rot180.png,train
132,image-12_vflip.png,mask-12_vflip.png,train
144,image-12_hflip.png,mask-12_hflip.png,train
540,image-12_rot45.png,mask-12_rot45.png,train
1080,image-12_rot90.png,mask-12_rot90.png,train
3240,image-12_rot270.png,mask-12_rot270.png,train
2160,image-12_rot180.png,mask-12_rot180.png,train
