idx,image_file,mask_file,type
4,image-4.png,mask-4.png,test
16,image-16.png,mask-16.png,test
29,image-29.png,mask-29.png,test
36,image-36.png,mask-36.png,test
2,image-2.png,mask-2.png,train
7,image-7.png,mask-7.png,train
10,image-10.png,mask-10.png,train
12,image-12.png,mask-12.png,train
21,image-21.png,mask-21.png,train
24,image-24.png,mask-24.png,train
27,image-27.png,mask-27.png,train
28,image-28.png,mask-28.png,train
30,image-30.png,mask-30.png,train
43,image-43.png,mask-43.png,train
11,image-11.png,mask-11.png,val
22,image-22.png,mask-22.png,val
32,image-32.png,mask-32.png,val
44,image-4_vflip.png,mask-4_vflip.png,test
48,image-4_hflip.png,mask-4_hflip.png,test
120,image-4_rot30.png,mask-4_rot30.png,test
180,image-4_rot45.png,mask-4_rot45.png,test
240,image-4_rot60.png,mask-4_rot60.png,test
360,image-4_rot90.png,mask-4_rot90.png,test
1320,image-4_rot330.png,mask-4_rot330.png,test
1260,image-4_rot315.png,mask-4_rot315.png,test
1200,image-4_rot300.png,mask-4_rot300.png,test
1080,image-4_rot270.png,mask-4_rot270.png,test
720,image-4_rot180.png,mask-4_rot180.png,test
120,image-4_hflip_rot30.png,mask-4_hflip_rot30.png,test
180,image-4_hflip_rot45.png,mask-4_hflip_rot45.png,test
240,image-4_hflip_rot60.png,mask-4_hflip_rot60.png,test
360,image-4_hflip_rot90.png,mask-4_hflip_rot90.png,test
1320,image-4_hflip_rot330.png,mask-4_hflip_rot330.png,test
1260,image-4_hflip_rot315.png,mask-4_hflip_rot315.png,test
1200,image-4_hflip_rot300.png,mask-4_hflip_rot300.png,test
1080,image-4_hflip_rot270.png,mask-4_hflip_rot270.png,test
720,image-4_hflip_rot180.png,mask-4_hflip_rot180.png,test
120,image-4_vflip_rot30.png,mask-4_vflip_rot30.png,test
180,image-4_vflip_rot45.png,mask-4_vflip_rot45.png,test
240,image-4_vflip_rot60.png,mask-4_vflip_rot60.png,test
360,image-4_vflip_rot90.png,mask-4_vflip_rot90.png,test
1320,image-4_vflip_rot330.png,mask-4_vflip_rot330.png,test
1260,image-4_vflip_rot315.png,mask-4_vflip_rot315.png,test
1200,image-4_vflip_rot300.png,mask-4_vflip_rot300.png,test
1080,image-4_vflip_rot270.png,mask-4_vflip_rot270.png,test
720,image-4_vflip_rot180.png,mask-4_vflip_rot180.png,test
176,image-16_vflip.png,mask-16_vflip.png,test
192,image-16_hflip.png,mask-16_hflip.png,test
480,image-16_rot30.png,mask-16_rot30.png,test
720,image-16_rot45.png,mask-16_rot45.png,test
960,image-16_rot60.png,mask-16_rot60.png,test
1440,image-16_rot90.png,mask-16_rot90.png,test
5280,image-16_rot330.png,mask-16_rot330.png,test
5040,image-16_rot315.png,mask-16_rot315.png,test
4800,image-16_rot300.png,mask-16_rot300.png,test
4320,image-16_rot270.png,mask-16_rot270.png,test
2880,image-16_rot180.png,mask-16_rot180.png,test
480,image-16_hflip_rot30.png,mask-16_hflip_rot30.png,test
720,image-16_hflip_rot45.png,mask-16_hflip_rot45.png,test
960,image-16_hflip_rot60.png,mask-16_hflip_rot60.png,test
1440,image-16_hflip_rot90.png,mask-16_hflip_rot90.png,test
5280,image-16_hflip_rot330.png,mask-16_hflip_rot330.png,test
5040,image-16_hflip_rot315.png,mask-16_hflip_rot315.png,test
4800,image-16_hflip_rot300.png,mask-16_hflip_rot300.png,test
4320,image-16_hflip_rot270.png,mask-16_hflip_rot270.png,test
